0	5775	1
0	6740	-1
0	6936	-1
0	7469	1
0	9262	1
0	9576	1
0	9620	-1
1	8220	1
1	8355	1
1	8623	1
1	8912	-1
1	9367	-1
1	9960	1
2	8127	1
2	9180	1
2	9536	1
2	9729	1
2	9806	-1
2	9849	1
2	9972	1
3	822	1
3	8152	1
3	9341	1
3	9663	1
3	9742	1
3	9841	-1
3	9966	1
4	5097	1
4	6218	1
4	8872	1
4	9159	-1
4	9797	1
4	9943	1
4	9970	-1
5	3015	-1
5	7949	1
5	8061	-1
5	8167	1
5	9293	1
5	9892	1
6	5730	1
6	8646	1
6	9183	-1
6	9472	1
6	9740	1
6	9759	1
6	9999	1
7	1215	1
7	7781	1
7	7823	-1
7	8422	1
7	8520	1
7	9815	1
7	9979	1
8	4879	1
8	4911	1
8	5829	1
8	8253	1
8	8731	1
8	9773	-1
8	9996	1
9	3545	1
9	8982	1
9	9001	1
9	9013	1
9	9201	1
9	9221	1
9	9657	1
9	9903	1
10	129	1
10	294	-1
10	6879	1
10	8516	-1
10	9423	1
10	9735	-1
11	4291	1
11	7291	1
11	8870	1
11	8899	1
11	8938	1
11	9812	1
11	9823	-1
11	9975	1
12	261	1
12	2347	1
12	2457	1
12	8645	1
12	9456	1
12	9549	1
12	9730	1
12	9908	1
13	4324	1
13	5804	1
13	6993	1
13	7601	1
13	9500	-1
13	9703	1
13	9961	1
14	4806	1
14	8266	1
14	8342	1
14	9247	1
14	9474	1
14	9926	1
14	9990	-1
15	3721	1
15	4742	1
15	7756	1
15	8668	-1
15	9521	1
15	9626	1
15	9869	-1
16	82	1
16	4093	1
16	6780	-1
16	8637	1
16	9193	-1
16	9386	1
16	9814	1
17	6026	1
17	8122	1
17	8890	1
17	9272	1
17	9354	1
17	9862	1
17	9909	1
18	3540	1
18	4988	-1
18	5250	1
18	9765	1
18	9844	1
18	9890	1
19	2686	1
19	8472	1
19	8553	1
19	8862	-1
19	9279	1
19	9574	-1
20	307	1
20	2668	1
20	9281	1
20	9454	1
20	9722	1
20	9893	1
20	9963	1
21	509	-1
21	758	1
21	4508	1
21	5200	1
21	7650	-1
21	9104	-1
21	9892	1
22	1683	1
22	5748	1
22	9464	1
22	9552	1
22	9626	1
22	9702	1
23	2411	1
23	8256	1
23	8953	1
23	9572	-1
23	9871	1
23	9938	1
23	9989	1
23	9994	1
24	8630	1
24	8660	-1
24	9023	1
24	9479	1
24	9703	1
24	9961	1
24	9996	1
25	8383	-1
25	8919	1
25	9538	1
25	9541	1
25	9674	1
25	9680	-1
26	7834	1
26	8503	1
26	8659	-1
26	9813	1
26	9923	1
26	9971	1
27	717	-1
27	6883	1
27	8020	-1
27	9036	1
27	9383	1
27	9572	-1
27	9731	-1
28	2474	1
28	7263	1
28	7478	1
28	8574	1
28	8887	1
28	9566	1
28	9847	1
28	9924	1
28	9991	1
29	6752	1
29	9073	1
29	9529	1
29	9855	1
29	9911	-1
29	9969	1
30	2221	-1
30	2919	1
30	5173	1
30	5808	1
30	7126	1
30	9174	1
30	9346	1
30	9560	1
30	9833	1
30	9847	1
30	9991	1
31	4228	1
31	4844	1
31	6214	1
31	6341	-1
31	9351	1
31	9541	-1
32	865	-1
32	1380	-1
32	9812	1
32	9823	1
32	9917	1
32	9959	1
32	9975	1
33	3776	-1
33	5193	1
33	5318	1
33	7274	1
33	7962	-1
33	9697	-1
33	9941	1
34	3996	1
34	5635	-1
34	5811	-1
34	7497	-1
34	8596	-1
34	9647	1
34	9823	1
35	2044	1
35	5753	1
35	6947	1
35	9690	1
35	9896	1
35	9904	-1
35	9942	1
36	8188	1
36	9122	1
36	9200	-1
36	9376	1
36	9608	-1
36	9789	-1
36	9873	1
37	3849	1
37	7554	1
37	8341	1
37	8879	1
37	9287	1
37	9932	1
38	8004	1
38	8027	-1
38	9355	1
38	9625	1
38	9668	1
38	9880	1
39	73	1
39	3163	1
39	8888	1
39	8955	1
39	9732	-1
39	9753	1
39	9954	1
40	6190	1
40	7872	1
40	8745	-1
40	9041	1
40	9806	1
40	9993	1
41	5432	1
41	8452	1
41	8653	1
41	9355	-1
41	9737	1
41	9956	1
42	4368	1
42	6357	1
42	8363	1
42	8798	-1
42	9739	-1
42	9748	1
43	7532	1
43	7829	1
43	8245	-1
43	8683	-1
43	9752	1
43	9895	-1
43	9898	1
44	7346	1
44	8982	1
44	9361	1
44	9548	1
44	9657	1
44	9704	1
44	9799	1
45	305	-1
45	3351	1
45	5983	1
45	6579	1
45	9586	-1
45	9831	1
45	9948	1
46	6860	-1
46	7006	1
46	9757	-1
46	9840	1
46	9858	1
46	9885	1
46	9980	-1
47	4479	1
47	7476	-1
47	8126	1
47	8549	1
47	8732	1
47	9771	1
47	9927	1
