0	7
1	7
2	4
3	3
4	5
5	5
6	7
7	6
8	4
9	2
10	2
11	5
12	3
13	6
14	4
15	7
16	2
17	5
18	1
19	5
20	4
21	7
22	1
23	7
24	7
25	2
26	5
27	7
28	7
29	2
30	3
31	3
32	2
33	5
34	6
35	6
36	5
37	3
38	6
39	7
40	7
41	3
42	2
43	1
44	3
45	6
46	7
47	3
48	1
49	5
50	1
51	4
52	5
53	2
54	6
55	7
56	6
57	6
58	7
59	1
60	5
61	6
62	7
63	1
64	1
65	3
66	7
67	7
68	1
69	6
70	2
71	4
72	2
73	4
74	6
75	3
76	7
77	5
78	7
79	1
80	5
81	3
82	4
83	6
84	3
85	7
86	6
87	3
88	4
89	1
90	4
91	3
92	6
93	5
94	3
95	6
96	4
97	6
98	3
99	7
100	2
101	2
102	7
103	2
104	3
105	6
106	1
107	6
108	5
109	3
110	4
111	5
112	5
113	3
114	5
115	4
116	5
117	5
118	5
119	3
120	5
121	4
122	6
123	4
124	5
125	6
126	6
127	3
128	6
129	4
130	5
131	7
132	1
133	3
134	7
135	6
136	6
137	5
138	2
139	7
140	6
141	2
142	1
143	7
144	2
145	6
146	3
147	2
148	6
149	7
150	6
151	2
152	5
153	3
154	4
155	6
156	3
157	4
158	1
159	2
160	1
161	2
162	3
163	3
164	2
165	4
166	3
167	2
168	3
169	5
170	6
171	5
172	7
173	6
174	4
175	4
176	7
177	6
178	1
179	2
180	2
181	3
182	1
183	7
184	7
185	6
186	7
187	7
188	5
189	1
190	4
191	6
192	1
193	1
194	1
195	1
196	7
197	5
198	2
199	7
200	1
201	1
202	7
203	1
204	3
205	4
206	7
207	6
208	4
209	6
210	5
211	6
212	6
213	5
214	2
215	3
216	3
217	2
218	4
219	1
220	3
221	2
222	7
223	7
224	5
225	4
226	4
227	2
228	5
229	5
230	5
231	6
232	2
233	1
234	1
235	7
236	6
237	6
238	4
239	5
240	5
241	2
242	6
243	4
244	2
245	1
246	4
247	1
248	4
249	7
250	4
251	3
252	7
253	4
254	5
255	6
256	3
257	4
258	5
259	7
260	6
261	5
262	1
263	4
264	3
265	7
266	4
267	5
268	6
269	7
270	3
271	2
272	6
273	7
274	2
275	2
276	4
277	6
278	2
279	1
280	3
281	1
282	5
283	3
284	2
285	6
286	4
287	2
288	6
289	5
290	1
291	7
292	1
293	7
294	4
295	3
296	5
297	5
298	4
299	7
300	6
301	5
302	6
303	5
304	6
305	7
306	3
307	1
308	3
309	3
310	7
311	4
312	5
313	7
314	5
315	1
316	3
317	5
318	4
319	5
320	6
321	1
322	5
323	6
324	1
325	1
326	4
327	1
328	4
329	5
330	1
331	3
332	6
333	4
334	1
335	7
336	3
337	6
338	6
339	3
340	7
341	5
342	4
343	1
344	5
345	4
346	5
347	6
348	3
349	3
350	5
351	7
352	6
353	7
354	3
355	4
356	6
357	2
358	6
359	4
360	2
361	7
362	4
363	1
364	6
365	2
366	1
367	5
368	7
369	4
370	3
371	2
372	7
373	4
374	1
375	2
376	3
377	1
378	5
379	5
380	5
381	1
382	6
383	2
384	3
385	2
386	6
387	3
388	1
389	7
390	6
391	6
392	5
393	2
394	6
395	3
396	5
397	4
398	5
399	3
400	3
401	7
402	6
403	5
404	7
405	3
406	5
407	3
408	7
409	4
410	5
411	2
412	7
413	7
414	6
415	4
416	3
417	1
418	2
419	7
420	5
421	6
422	6
423	3
424	5
425	7
426	1
427	4
428	6
429	4
430	5
431	5
432	6
433	5
434	7
435	7
436	6
437	6
438	4
439	5
440	3
441	2
442	7
443	5
444	7
445	1
446	2
447	7
448	5
449	2
450	1
451	7
452	5
453	6
454	3
455	6
456	2
457	2
458	2
459	7
460	6
461	6
462	5
463	5
464	5
465	6
466	6
467	5
468	7
469	4
470	3
471	5
472	4
473	1
474	3
475	3
476	2
477	1
478	1
479	3
480	2
481	6
482	6
483	4
484	7
485	4
486	4
487	6
488	4
489	5
490	7
491	5
492	6
493	5
494	2
495	4
496	1
497	4
498	2
499	7
500	3
501	7
502	3
503	4
504	6
505	3
506	2
507	7
508	7
509	2
510	6
511	4
512	7
513	6
514	7
515	5
516	7
517	5
518	5
519	5
520	4
521	5
522	3
523	4
524	7
525	6
526	6
527	5
528	7
529	1
530	2
531	5
532	7
533	3
534	7
535	3
536	5
537	6
538	3
539	3
540	6
541	7
542	7
543	5
544	7
545	5
546	1
547	4
548	1
549	3
550	7
551	6
552	7
553	6
554	7
555	5
556	4
557	5
558	4
559	2
560	7
561	7
562	5
563	3
564	7
565	3
566	4
567	3
568	3
569	4
570	1
571	7
572	6
573	6
574	5
575	2
576	2
577	6
578	7
579	2
580	2
581	6
582	4
583	6
584	7
585	7
586	3
587	2
588	3
589	6
590	6
591	7
592	3
593	3
594	3
595	6
596	3
597	3
598	2
599	2
600	7
601	3
602	1
603	2
604	2
605	3
606	3
607	5
608	3
609	4
610	6
611	4
612	3
613	4
614	4
615	1
616	5
617	3
618	3
619	7
620	6
621	3
622	6
623	5
624	5
625	3
626	3
627	3
628	6
629	1
630	1
631	4
632	1
633	7
634	3
635	1
636	1
637	4
638	6
639	7
640	4
641	5
642	5
643	5
644	7
645	6
646	6
647	5
648	7
649	3
650	1
651	7
652	6
653	6
654	5
655	5
656	3
657	2
658	5
659	7
660	6
661	3
662	2
663	3
664	2
665	1
666	7
667	3
668	6
669	5
670	6
671	7
672	5
